geo_point_2d;geo_shape;id_smiley;idstandort;strname;hausnr;geschwind;richtung;hinweis;status;messbegin;messende;ogdeinzel;odganalyse
47.54939776115527, 7.581255812405658;"{""coordinates"": [7.581255812405658, 47.54939776115527], ""type"": ""Point""}";54;59;Birsigstrasse;;30;Tiergartenrain;vis a vis 74;ausser Betrieb;2023-03-01;2023-05-31;;
47.583094703302166, 7.592683803061839;"{""coordinates"": [7.592683803061839, 47.583094703302166], ""type"": ""Point""}";60;44;Dorfstrasse;;20;Schulgasse;;ausser Betrieb;2023-08-01;2023-10-31;;
47.5718181234674, 7.5968173826105305;"{""coordinates"": [7.596817382610531, 47.5718181234674], ""type"": ""Point""}";61;45;Horburgstrasse;110;30;Schliengerweg;;ausser Betrieb;2023-08-01;2023-10-31;;
47.56969177983562, 7.598617201790952;"{""coordinates"": [7.598617201790952, 47.56969177983562], ""type"": ""Point""}";63;25;Tangentenweg;;20;Erlenstrasse;Riehenring 182;ausser Betrieb;2023-08-01;2023-10-31;;
47.568609783236255, 7.639002672567955;"{""coordinates"": [7.639002672567955, 47.568609783236255], ""type"": ""Point""}";67;105;Kohlistieg;39;50;Römerfeldstrasse;Winterstandort;ausser Betrieb;2024-01-01;2024-03-31;;
47.55397689028954, 7.6001111623424045;"{""coordinates"": [7.600111162342404, 47.55397689028954], ""type"": ""Point""}";73;114;St. Alban-Vorstadt;81;30;St. Alban-Anlage;Baustelle bis Ende Juni 2023;ausser Betrieb;2022-10-12;2022-10-12;;
47.54703955660414, 7.613788475368082;"{""coordinates"": [7.613788475368082, 47.54703955660414], ""type"": ""Point""}";74;24;Karl Jaspers-Allee;;30;Prattelerstrasse;Auf der Brücke;ausser Betrieb;2022-10-12;2022-10-12;;
47.5608597878642, 7.561670756025739;"{""coordinates"": [7.561670756025739, 47.5608597878642], ""type"": ""Point""}";39;50;Blotzheimerstrasse;80;30;Badweglein;;ausser Betrieb;2024-01-01;2024-03-31;;
47.54022921087097, 7.592452206181289;"{""coordinates"": [7.592452206181289, 47.54022921087097], ""type"": ""Point""}";40;51;Gundeldingerstrasse;286;50;Ingelsteinweg;;ausser Betrieb;2022-10-12;2022-10-12;;
47.58645667477568, 7.66336562152522;"{""coordinates"": [7.66336562152522, 47.58645667477568], ""type"": ""Point""}";3;4;Inzlingerstrasse;230;30;Bockrainweg;;ausser Betrieb;2023-08-12;2023-10-31;;
47.589028773760084, 7.656687279810443;"{""coordinates"": [7.656687279810443, 47.589028773760084], ""type"": ""Point""}";4;5;Steingrubenweg;20;30;Bäumliweg;;ausser Betrieb;2022-10-12;2022-10-12;;
47.59232064569195, 7.645964781970964;"{""coordinates"": [7.645964781970964, 47.59232064569195], ""type"": ""Point""}";5;6;Weilstrasse;;30;Lörracherstrasse;mittig auf Brücke, Sommerstandort;ausser Betrieb;2022-10-12;2022-10-12;;
47.57145429338446, 7.6108492747734005;"{""coordinates"": [7.6108492747734, 47.57145429338446], ""type"": ""Point""}";10;13;Schorenweg;37;30;Egliseestrasse;;ausser Betrieb;2024-01-01;2024-03-31;;
47.57000956441861, 7.590211036919652;"{""coordinates"": [7.590211036919652, 47.57000956441861], ""type"": ""Point""}";12;113;Klybeckstrasse;115;50;Offenburgerstrasse;Winterstandort;ausser Betrieb;2024-01-01;2024-03-31;;
47.54528993031826, 7.578683083906985;"{""coordinates"": [7.578683083906985, 47.54528993031826], ""type"": ""Point""}";36;47;Binningerstrasse;;50;Heuwaage;Höhe Hans Huber-Strasse;ausser Betrieb;2024-01-01;2024-03-31;;
47.55509991942523, 7.580084413938191;"{""coordinates"": [7.580084413938191, 47.55509991942523], ""type"": ""Point""}";37;111;Schützenmattstrasse;41;50;Eulerstrasse;;ausser Betrieb;2022-10-12;2022-10-12;;
47.5391769133979, 7.589415847888779;"{""coordinates"": [7.589415847888779, 47.5391769133979], ""type"": ""Point""}";41;106;Lerchenstrasse;;30;Unterer Batterieweg;Winterstandort, gegenüber Starenweglein;ausser Betrieb;2024-01-01;2024-03-31;;
47.541027020963725, 7.58670501140508;"{""coordinates"": [7.58670501140508, 47.541027020963725], ""type"": ""Point""}";42;53;Unterer Batterieweg;90;30;Starenstrasse;;ausser Betrieb;2023-08-01;2023-10-31;;
47.53099425000999, 7.587374658494896;"{""coordinates"": [7.587374658494896, 47.53099425000999], ""type"": ""Point""}";44;55;Oscar Frey-Strasse;14;30;Unter der Batterie;;ausser Betrieb;2022-10-12;2022-10-12;;
47.529918800043355, 7.587357642332074;"{""coordinates"": [7.587357642332074, 47.529918800043355], ""type"": ""Point""}";45;56;Oscar Frey-Strasse;28;30;Unter der Batterie;gegen Fahrrichtung;ausser Betrieb;2022-10-12;2022-10-12;;
47.56885123022513, 7.61806436530431;"{""coordinates"": [7.61806436530431, 47.56885123022513], ""type"": ""Point""}";9;12;Allmendstrasse;36;30;Thumringerstrasse;;ausser Betrieb;2023-03-01;2023-05-31;;
47.58463079934886, 7.592554960704692;"{""coordinates"": [7.592554960704692, 47.58463079934886], ""type"": ""Point""}";11;32;Dorfstrasse;51;30;Schulgasse;Winterstandort;ausser Betrieb;2024-01-03;2024-03-31;;
47.56906893125995, 7.6022120779677955;"{""coordinates"": [7.602212077967796, 47.56906893125995], ""type"": ""Point""}";14;17;Erlenstrasse;;50;Mattenstrasse;Höhe Jägerstrasse 14;ausser Betrieb;2023-03-01;2023-05-31;;
47.56627701770721, 7.56352022396301;"{""coordinates"": [7.56352022396301, 47.56627701770721], ""type"": ""Point""}";18;107;Markircherstrasse;5;20;Burgfelderstrasse;;ausser Betrieb;2023-08-01;2023-10-31;;
47.546960332273194, 7.6103150589205795;"{""coordinates"": [7.610315058920579, 47.546960332273194], ""type"": ""Point""}";29;37;Adlerstrasse;21;50;Karl Barth-Platz;;ausser Betrieb;2023-03-01;2023-05-31;;
47.551219853700424, 7.611922029648175;"{""coordinates"": [7.611922029648175, 47.551219853700424], ""type"": ""Point""}";31;41;Gellertstrasse;74;30;Gellertweglein;;ausser Betrieb;2023-03-01;2023-05-31;;
47.552497440831246, 7.5662645015629435;"{""coordinates"": [7.566264501562944, 47.552497440831246], ""type"": ""Point""}";48;60;Wanderstrasse;;50;Morgartenring;Höhe Eisenbahnbrücke;ausser Betrieb;2024-01-01;2024-03-31;;
47.56762535065729, 7.571100011960617;"{""coordinates"": [7.571100011960617, 47.56762535065729], ""type"": ""Point""}";50;43;Flughafenstrasse;30;50;Lachenstrasse;;ausser Betrieb;2022-10-12;2022-10-12;;
